station,date,nhrh_pred_lwmwet_1_tot
GVNI4,2020-05-30,480
BNKI4,2020-05-30,420
AHTI4,2020-05-30,240
OSTI4,2020-05-30,180
BNKI4,2020-05-31,60
GVNI4,2020-05-31,660
OSTI4,2020-05-31,60
AHTI4,2020-05-31,0
OSTI4,2020-06-01,0
BNKI4,2020-06-01,0
GVNI4,2020-06-01,0
AHTI4,2020-06-01,0
OSTI4,2020-06-02,0
GVNI4,2020-06-02,0
BNKI4,2020-06-02,0
AHTI4,2020-06-02,0
GVNI4,2020-06-03,0
BNKI4,2020-06-03,480
AHTI4,2020-06-03,60
OSTI4,2020-06-03,180
AHTI4,2020-06-04,120
OSTI4,2020-06-04,420
GVNI4,2020-06-04,60
BNKI4,2020-06-04,720
BNKI4,2020-06-05,600
OSTI4,2020-06-05,360
GVNI4,2020-06-05,60
AHTI4,2020-06-05,60
BNKI4,2020-06-06,0
GVNI4,2020-06-06,0
AHTI4,2020-06-06,0
OSTI4,2020-06-06,0
BNKI4,2020-06-07,0
GVNI4,2020-06-07,0
AHTI4,2020-06-07,0
OSTI4,2020-06-07,0
AHTI4,2020-06-08,0
GVNI4,2020-06-08,0
OSTI4,2020-06-08,0
BNKI4,2020-06-08,0
GVNI4,2020-06-09,0
AHTI4,2020-06-09,300
BNKI4,2020-06-09,240
OSTI4,2020-06-09,600
GVNI4,2020-06-10,540
BNKI4,2020-06-10,1380
AHTI4,2020-06-10,360
OSTI4,2020-06-10,1140
BNKI4,2020-06-11,0
GVNI4,2020-06-11,0
AHTI4,2020-06-11,0
OSTI4,2020-06-11,0
OSTI4,2020-06-12,180
GVNI4,2020-06-12,0
AHTI4,2020-06-12,120
BNKI4,2020-06-12,240
GVNI4,2020-06-13,0
BNKI4,2020-06-13,0
AHTI4,2020-06-13,0
OSTI4,2020-06-13,120
BNKI4,2020-06-14,0
AHTI4,2020-06-14,0
OSTI4,2020-06-14,0
GVNI4,2020-06-14,0
OSTI4,2020-06-15,0
GVNI4,2020-06-15,0
AHTI4,2020-06-15,0
BNKI4,2020-06-15,0
BNKI4,2020-06-16,0
GVNI4,2020-06-16,60
AHTI4,2020-06-16,0
OSTI4,2020-06-16,0
GVNI4,2020-06-17,0
BNKI4,2020-06-17,0
AHTI4,2020-06-17,0
OSTI4,2020-06-17,60
GVNI4,2020-06-18,120
BNKI4,2020-06-18,0
OSTI4,2020-06-18,0
AHTI4,2020-06-18,0
BNKI4,2020-06-19,60
OSTI4,2020-06-19,540
AHTI4,2020-06-19,660
GVNI4,2020-06-19,660
AHTI4,2020-06-20,540
OSTI4,2020-06-20,960
BNKI4,2020-06-20,900
GVNI4,2020-06-20,120
BNKI4,2020-06-21,660
AHTI4,2020-06-21,480
GVNI4,2020-06-21,0
OSTI4,2020-06-21,600
OSTI4,2020-06-22,660
BNKI4,2020-06-22,1140
AHTI4,2020-06-22,840
GVNI4,2020-06-22,0
OSTI4,2020-06-23,720
BNKI4,2020-06-23,780
GVNI4,2020-06-23,60
AHTI4,2020-06-23,420
AHTI4,2020-06-24,480
OSTI4,2020-06-24,480
BNKI4,2020-06-24,720
GVNI4,2020-06-24,60
AHTI4,2020-06-25,60
OSTI4,2020-06-25,60
GVNI4,2020-06-25,0
BNKI4,2020-06-25,720
OSTI4,2020-06-26,60
GVNI4,2020-06-26,0
AHTI4,2020-06-26,60
BNKI4,2020-06-26,480
OSTI4,2020-06-27,720
GVNI4,2020-06-27,0
AHTI4,2020-06-27,600
BNKI4,2020-06-27,720
BNKI4,2020-06-28,720
AHTI4,2020-06-28,600
OSTI4,2020-06-28,840
GVNI4,2020-06-28,0
GVNI4,2020-06-29,0
AHTI4,2020-06-29,240
OSTI4,2020-06-29,600
BNKI4,2020-06-29,600
GVNI4,2020-06-30,0
OSTI4,2020-06-30,720
BNKI4,2020-06-30,480
AHTI4,2020-06-30,300
GVNI4,2020-07-01,0
BNKI4,2020-07-01,900
OSTI4,2020-07-01,1080
AHTI4,2020-07-01,600
GVNI4,2020-07-02,0
OSTI4,2020-07-02,840
BNKI4,2020-07-02,60
AHTI4,2020-07-02,540
AHTI4,2020-07-03,420
GVNI4,2020-07-03,0
BNKI4,2020-07-03,540
OSTI4,2020-07-03,540
GVNI4,2020-07-04,60
OSTI4,2020-07-04,540
BNKI4,2020-07-04,540
AHTI4,2020-07-04,600
BNKI4,2020-07-05,600
GVNI4,2020-07-05,0
OSTI4,2020-07-05,600
AHTI4,2020-07-05,540
GVNI4,2020-07-06,60
OSTI4,2020-07-06,480
BNKI4,2020-07-06,600
AHTI4,2020-07-06,240
BNKI4,2020-07-07,600
AHTI4,2020-07-07,240
GVNI4,2020-07-07,0
OSTI4,2020-07-07,300
GVNI4,2020-07-08,0
AHTI4,2020-07-08,120
BNKI4,2020-07-08,780
OSTI4,2020-07-08,120
BNKI4,2020-07-09,540
AHTI4,2020-07-09,120
OSTI4,2020-07-09,420
GVNI4,2020-07-09,0
AHTI4,2020-07-10,540
OSTI4,2020-07-10,720
GVNI4,2020-07-10,60
BNKI4,2020-07-10,840
AHTI4,2020-07-11,480
GVNI4,2020-07-11,420
BNKI4,2020-07-11,900
OSTI4,2020-07-11,420
GVNI4,2020-07-12,480
OSTI4,2020-07-12,660
AHTI4,2020-07-12,540
BNKI4,2020-07-12,780
AHTI4,2020-07-13,420
GVNI4,2020-07-13,180
OSTI4,2020-07-13,480
BNKI4,2020-07-13,660
BNKI4,2020-07-14,0
GVNI4,2020-07-14,0
AHTI4,2020-07-14,0
OSTI4,2020-07-14,0
GVNI4,2020-07-15,60
BNKI4,2020-07-15,1260
OSTI4,2020-07-15,1200
AHTI4,2020-07-15,360
OSTI4,2020-07-16,780
AHTI4,2020-07-16,720
GVNI4,2020-07-16,240
BNKI4,2020-07-16,840
BNKI4,2020-07-17,660
OSTI4,2020-07-17,660
AHTI4,2020-07-17,420
GVNI4,2020-07-17,60
GVNI4,2020-07-18,120
OSTI4,2020-07-18,420
BNKI4,2020-07-18,780
AHTI4,2020-07-18,180
BNKI4,2020-07-19,420
GVNI4,2020-07-19,60
AHTI4,2020-07-19,60
OSTI4,2020-07-19,60
OSTI4,2020-07-20,1200
GVNI4,2020-07-20,300
BNKI4,2020-07-20,300
AHTI4,2020-07-20,360
AHTI4,2020-07-21,360
GVNI4,2020-07-21,60
OSTI4,2020-07-21,1140
BNKI4,2020-07-21,1020
AHTI4,2020-07-22,600
OSTI4,2020-07-22,720
BNKI4,2020-07-22,780
GVNI4,2020-07-22,180
OSTI4,2020-07-23,660
AHTI4,2020-07-23,360
GVNI4,2020-07-23,300
BNKI4,2020-07-23,540
AHTI4,2020-07-24,120
OSTI4,2020-07-24,600
GVNI4,2020-07-24,600
BNKI4,2020-07-24,660
GVNI4,2020-07-25,0
OSTI4,2020-07-25,720
AHTI4,2020-07-25,480
BNKI4,2020-07-25,420
BNKI4,2020-07-26,660
AHTI4,2020-07-26,120
OSTI4,2020-07-26,540
GVNI4,2020-07-26,0
BNKI4,2020-07-27,720
AHTI4,2020-07-27,360
GVNI4,2020-07-27,60
OSTI4,2020-07-27,780
AHTI4,2020-07-28,420
GVNI4,2020-07-28,180
OSTI4,2020-07-28,540
BNKI4,2020-07-28,360
OSTI4,2020-07-29,360
BNKI4,2020-07-29,300
GVNI4,2020-07-29,60
AHTI4,2020-07-29,180
OSTI4,2020-07-30,900
BNKI4,2020-07-30,60
AHTI4,2020-07-30,180
GVNI4,2020-07-30,0
GVNI4,2020-07-31,0
AHTI4,2020-07-31,0
OSTI4,2020-07-31,600
BNKI4,2020-07-31,360
GVNI4,2020-08-01,0
OSTI4,2020-08-01,600
BNKI4,2020-08-01,720
AHTI4,2020-08-01,360
GVNI4,2020-08-02,0
BNKI4,2020-08-02,660
AHTI4,2020-08-02,420
OSTI4,2020-08-02,600
BNKI4,2020-08-03,120
OSTI4,2020-08-03,480
AHTI4,2020-08-03,360
GVNI4,2020-08-03,0
AHTI4,2020-08-04,300
BNKI4,2020-08-04,300
OSTI4,2020-08-04,480
GVNI4,2020-08-04,0
AHTI4,2020-08-05,360
OSTI4,2020-08-05,480
GVNI4,2020-08-05,0
BNKI4,2020-08-05,600
AHTI4,2020-08-06,0
OSTI4,2020-08-06,0
GVNI4,2020-08-06,0
BNKI4,2020-08-06,360
OSTI4,2020-08-07,180
BNKI4,2020-08-07,240
AHTI4,2020-08-07,0
GVNI4,2020-08-07,0
BNKI4,2020-08-08,60
GVNI4,2020-08-08,0
OSTI4,2020-08-08,540
AHTI4,2020-08-08,360
BNKI4,2020-08-09,1140
GVNI4,2020-08-09,0
AHTI4,2020-08-09,480
OSTI4,2020-08-09,720
GVNI4,2020-08-10,0
OSTI4,2020-08-10,660
BNKI4,2020-08-10,1140
AHTI4,2020-08-10,540
AHTI4,2020-08-11,660
GVNI4,2020-08-11,0
OSTI4,2020-08-11,660
BNKI4,2020-08-11,720
AHTI4,2020-08-12,120
GVNI4,2020-08-12,0
BNKI4,2020-08-12,660
OSTI4,2020-08-12,660
BNKI4,2020-08-13,120
GVNI4,2020-08-13,0
AHTI4,2020-08-13,660
OSTI4,2020-08-13,780
OSTI4,2020-08-14,660
BNKI4,2020-08-14,600
AHTI4,2020-08-14,420
GVNI4,2020-08-14,0
OSTI4,2020-08-15,540
GVNI4,2020-08-15,0
AHTI4,2020-08-15,120
BNKI4,2020-08-15,660
OSTI4,2020-08-16,540
AHTI4,2020-08-16,420
BNKI4,2020-08-16,660
GVNI4,2020-08-16,0
OSTI4,2020-08-17,360
AHTI4,2020-08-17,300
BNKI4,2020-08-17,420
